序号,Id,昵称,所在地,类型,节点,层级,关注数,粉丝数,Label,Source,Target
1698,5986316650,清香依人5986316650,,0,1544,2,376,36,清香依人5986316650,5986316650,1899373067
1697,5446924757,乞力马扎罗的光,广东 广州,0,1544,2,419,214,乞力马扎罗的光,5446924757,1899373067
1696,2144070612,陈小旺98710,,0,1544,2,411,52,陈小旺98710,2144070612,1899373067
1695,5977937724,喜欢有你5977937724,,0,1544,2,115,7,喜欢有你5977937724,5977937724,1899373067
1694,2172818833,土鴨毛,浙江 台州,0,1544,2,312,1008,土鴨毛,2172818833,1899373067
1693,5982351834,十年926,北京,0,1544,2,224,52,十年926,5982351834,1899373067
1542,1698035820,_让梦冬眠,广西 南宁,0,1,1,243,279,_让梦冬眠,1698035820,1323527941
1541,1347892573,任飞扬945,江苏 南通,0,1,1,257,376,任飞扬945,1347892573,1323527941
1540,2120964627,市政齐东平,,0,1,1,381,1501,市政齐东平,2120964627,1323527941
1539,2136008492,愿我如星君如月_梅长苏,,0,1,1,391,367,愿我如星君如月_梅长苏,2136008492,1323527941
1538,1951794893,阿步er,安徽 合肥,0,1,1,334,269,阿步er,1951794893,1323527941
1537,1485033654,pangke老爷,,0,1,1,308,309,pangke老爷,1485033654,1323527941
1535,1745818201,SSSSSSS仔,福建 泉州,0,1,1,259,180,SSSSSSS仔,1745818201,1323527941
1700,1072564680,猪太郎zzZ,,0,1535,2,1198,1119,猪太郎zzZ,1072564680,1745818201
1701,2091528884,知盛卿,浙江 杭州,0,1700,3,187,187,知盛卿,2091528884,1072564680
1534,1133230334,草叶君,江苏 南京,0,1,1,356,463,草叶君,1133230334,1323527941
1533,1733119344,随遇而安苏州,江苏 苏州,0,1,1,818,586,随遇而安苏州,1733119344,1323527941
1531,2130701954,Jackie_Yian,,0,1,1,735,266,Jackie_Yian,2130701954,1323527941
1530,5561722174,小绿魔戴涵涵,北京,0,1,1,293,91,小绿魔戴涵涵,5561722174,1323527941
1529,1146519337,像花儿那样飞,,0,1,1,346,356,像花儿那样飞,1146519337,1323527941
1527,1933271093,辽宁伍哥2010,辽宁 大连,0,1,1,838,177,辽宁伍哥2010,1933271093,1323527941
1525,1372667032,微笑的小溪流水,湖北 武汉,0,1,1,194,163,微笑的小溪流水,1372667032,1323527941
1524,1769387577,fenny-yin,北京 朝阳区,0,1,1,1994,4317,fenny-yin,1769387577,1323527941
1703,1889358001,三十没立的老疯子,海外 墨西哥,0,1524,2,1808,520,三十没立的老疯子,1889358001,1769387577
1702,1233349727,樂揚大師,,0,1524,2,1740,1186,樂揚大師,1233349727,1769387577
1522,1766079793,兔子是黑的不是白的,北京 延庆县,0,1,1,292,171,兔子是黑的不是白的,1766079793,1323527941
1521,2707371162,_Nagareboshi,其他,0,1,1,229,61,_Nagareboshi,2707371162,1323527941
1520,1890164804,黄道那个全,海外 澳大利亚,0,1,1,368,596,黄道那个全,1890164804,1323527941
1519,1695784893,颜华_Maius,,0,1,1,116,462,颜华_Maius,1695784893,1323527941
1517,1764244753,CC-曹,,0,1,1,1034,1505,CC-曹,1764244753,1323527941
1516,2707279403,我想走在云端上,其他,0,1,1,350,123,我想走在云端上,2707279403,1323527941
1705,1994702011,BloodyFairy,,0,1516,2,1479,705,BloodyFairy,1994702011,2707279403
1706,2409382451,六猹,,0,1705,3,272,108,六猹,2409382451,1994702011
1515,1923255147,灵蛇仙妖_Monique,,0,1,1,584,2284,灵蛇仙妖_Monique,1923255147,1323527941
1514,2428481105,园田田田田田田田,四川 德阳,0,1,1,427,823,园田田田田田田田,2428481105,1323527941
1513,2143247423,LS-不掐不黑乖团子,湖南 长沙,0,1,1,669,433,LS-不掐不黑乖团子,2143247423,1323527941
1511,5261709600,去你大爷00,北京,0,1,1,243,31,去你大爷00,5261709600,1323527941
1510,1966351443,安静的丑男子,海外 瑞典,0,1,1,237,190,安静的丑男子,1966351443,1323527941
1509,2402572893,我是宋宸可是微博该起个啥名,上海 嘉定区,0,1,1,414,120,我是宋宸可是微博该起个啥名,2402572893,1323527941
1508,1364902683,SIMEN_XX,河南 新乡,0,1,1,137,92,SIMEN_XX,1364902683,1323527941
1506,1613651233,晓来谁把芳园绣,北京 朝阳区,0,1,1,282,123,晓来谁把芳园绣,1613651233,1323527941
1505,3101716165,用户6682156225,北京 东城区,0,1,1,75,201,用户6682156225,3101716165,1323527941
1504,1282517462,妖柒柒,北京 东城区,0,1,1,1887,11533,妖柒柒,1282517462,1323527941
1709,2554246843,张仲麟,北京,0,1504,2,455,840,张仲麟,2554246843,1282517462
1711,1649312663,-Joshua,山东 济南,0,1709,3,964,578,-Joshua,1649312663,2554246843
1710,1832114924,平常心的阿福,云南 昆明,0,1709,3,310,471,平常心的阿福,1832114924,2554246843
1502,1311522862,弹作墨痕飞,其他,0,1,1,646,355,弹作墨痕飞,1311522862,1323527941
1501,5249470582,VocalThoRn,湖南 邵阳,0,1,1,97,46,VocalThoRn,5249470582,1323527941
1499,5073570310,拜拜陈三岁,河北 唐山,0,1,1,429,139,拜拜陈三岁,5073570310,1323527941
1498,2920998813,三合斋,甘肃,0,1,1,430,51,三合斋,2920998813,1323527941
1495,1414155130,Vickie_may,,0,1,1,173,182,Vickie_may,1414155130,1323527941
1492,2043487814,我是朝阳吃瓜群众,海外 日本,0,1,1,298,51,我是朝阳吃瓜群众,2043487814,1323527941
1490,1827600997,蚂蚁读报,江苏 镇江,0,1,1,57,98,蚂蚁读报,1827600997,1323527941
1489,1906340113,SiSi_雙兒,,0,1,1,297,846,SiSi_雙兒,1906340113,1323527941
1488,1808721343,链尚妳,河南 驻马店,0,1,1,131,65,链尚妳,1808721343,1323527941
1487,5854706288,用户5854706288,,0,1,1,15,1,用户5854706288,5854706288,1323527941
1486,1666043161,shirley415,浙江 杭州,0,1,1,534,848,shirley415,1666043161,1323527941
1485,1910309353,薛元熙0710,上海 黄浦区,0,1,1,181,199,薛元熙0710,1910309353,1323527941
1484,1848175464,什么都缺的雨宫君,,0,1,1,479,1071,什么都缺的雨宫君,1848175464,1323527941
1483,2562905131,有一个姑娘叫小鱼,山东 济南,0,1,1,218,76,有一个姑娘叫小鱼,2562905131,1323527941
1482,2851343984,Mr木木木木头人,,0,1,1,901,884,Mr木木木木头人,2851343984,1323527941
1481,1365797913,Eve_Jin,,0,1,1,744,1635,Eve_Jin,1365797913,1323527941
1480,5967328743,恶玫瑰5967328743,,0,1,1,60,1,恶玫瑰5967328743,5967328743,1323527941
1479,1743866183,yAo小家伙_麻衣如雪,,0,1,1,521,1893,yAo小家伙_麻衣如雪,1743866183,1323527941
1713,3228677673,秋刀魚_Rinrinko,天津 南开区,0,1479,2,1817,1126,秋刀魚_Rinrinko,3228677673,1743866183
1712,3916261339,格格-麻烦你做人有d担待好吗,海外 日本,0,1479,2,164,686,格格-麻烦你做人有d担待好吗,3916261339,1743866183
1478,1496987315,轻盈小猪,,0,1,1,187,5392,轻盈小猪,1496987315,1323527941
1719,1646482705,chris舞者_暖暖,海外 英国,0,1478,2,198,208,chris舞者_暖暖,1646482705,1496987315
1720,1168812143,calanghiyou春,天津 河东区,0,1719,3,283,279,calanghiyou春,1168812143,1646482705
1718,2321868502,觅霜刃,湖南 长沙,0,1478,2,350,272,觅霜刃,2321868502,1496987315
1716,1194311727,KAME的瓶子,江苏 镇江,0,1478,2,160,725,KAME的瓶子,1194311727,1496987315
1715,1760688631,淹不死的鱼949,北京 顺义区,0,1478,2,496,282,淹不死的鱼949,1760688631,1496987315
1714,1646633313,亚热带冰淇凌,广西 桂林,0,1478,2,130,1097,亚热带冰淇凌,1646633313,1496987315
1477,5883011548,阿玛的美瓜,重庆 万州区,0,1,1,118,11,阿玛的美瓜,5883011548,1323527941
1476,1720382037,日出_新地球Genesis,,0,1,1,539,441,日出_新地球Genesis,1720382037,1323527941
1475,5460157190,娇娃咔是美少女,其他,0,1,1,344,36,娇娃咔是美少女,5460157190,1323527941
1474,3646421440,如影随行6888,安徽 安庆,0,1,1,140,80,如影随行6888,3646421440,1323527941
1473,1744138891,面粉铺子_花卷,辽宁 辽阳,0,1,1,103,144,面粉铺子_花卷,1744138891,1323527941
1472,1940656147,一颗蓝黑色的心,黑龙江 牡丹江,0,1,1,137,68,一颗蓝黑色的心,1940656147,1323527941
1471,2896576522,山下家的异太ItaItan,湖南 长沙,0,1,1,519,463,山下家的异太ItaItan,2896576522,1323527941
1470,1940656147,一颗蓝黑色的心,黑龙江 牡丹江,0,1,1,137,68,一颗蓝黑色的心,1940656147,1323527941
1469,3207033151,最初的狂热,安徽 合肥,0,1,1,165,47,最初的狂热,3207033151,1323527941
1467,3049072991,狼烟拍案,北京 东城区,0,1,1,977,2058,狼烟拍案,3049072991,1323527941
1466,2833095412,灯火南岸,黑龙江 鸡西,0,1,1,107,113,灯火南岸,2833095412,1323527941
1465,1752715480,我要吃大餐哼哼,,0,1,1,428,130,我要吃大餐哼哼,1752715480,1323527941
1464,1628602062,糖醋小排骨GiM,,0,1,1,446,772,糖醋小排骨GiM,1628602062,1323527941
1463,1869592492,你好我是绯村原你是谁呀,,0,1,1,326,228,你好我是绯村原你是谁呀,1869592492,1323527941
1461,1694094744,小兵托尼,,0,1,1,336,447,小兵托尼,1694094744,1323527941
1460,3927879803,怎么样才能表达我对银魂的爱,其他,0,1,1,255,53,怎么样才能表达我对银魂的爱,3927879803,1323527941
1459,2457449745,RYE-Jay,,0,1,1,169,270,RYE-Jay,2457449745,1323527941
1457,1954881695,sayako酱,北京 海淀区,0,1,1,257,817,sayako酱,1954881695,1323527941
1722,5249122277,白竹寒Byron,安徽 合肥,0,1457,2,171,19,白竹寒Byron,5249122277,1954881695
1721,1796714552,阿咩酱_指日可待,其他,0,1457,2,757,292,阿咩酱_指日可待,1796714552,1954881695
1455,3295310701,长尾巴的大脸喵,其他,0,1,1,283,175,长尾巴的大脸喵,3295310701,1323527941
1453,2826317994,SakuraiPonta,其他,0,1,1,54,53,SakuraiPonta,2826317994,1323527941
1452,1649274481,biubiubiu口口,江苏 常州,0,1,1,523,1431,biubiubiu口口,1649274481,1323527941
1451,2166980417,檀晓_开坑拖文小达人,河北 张家口,0,1,1,217,115,檀晓_开坑拖文小达人,2166980417,1323527941
1449,1813989280,Mpandora,甘肃 兰州,0,1,1,138,169,Mpandora,1813989280,1323527941
1448,2188230582,双桥车,,0,1,1,387,360,双桥车,2188230582,1323527941
1447,3166089404,京牌儿尖果儿亚亚,北京,0,1,1,56,49,京牌儿尖果儿亚亚,3166089404,1323527941
1446,2630901680,整年暗淡,其他,0,1,1,99,39,整年暗淡,2630901680,1323527941
1445,1304207794,印象西湖雨Jessie,山西 太原,0,1,1,380,3651,印象西湖雨Jessie,1304207794,1323527941
1444,2308032830,粑爱宝,江苏 南京,0,1,1,308,74,粑爱宝,2308032830,1323527941
1443,1217183434,foreveralover,,0,1,1,517,464,foreveralover,1217183434,1323527941
1442,2044116937,米洛K11,北京 朝阳区,0,1,1,733,399,米洛K11,2044116937,1323527941
1441,3609842724,凡沫沫爱薇薇恩,海外 美国,0,1,1,182,44,凡沫沫爱薇薇恩,3609842724,1323527941
1440,5887659248,摄郎志志,,0,1,1,176,10,摄郎志志,5887659248,1323527941
1439,1305307507,大雷人寺方丈,北京 昌平区,0,1,1,160,83,大雷人寺方丈,1305307507,1323527941
1437,2162273715,翟振同學,,0,1,1,378,442,翟振同學,2162273715,1323527941
1436,1749139205,seeya_wini,,0,1,1,362,235,seeya_wini,1749139205,1323527941
1435,2771940551,装作是欧洲人的镜子,湖南 湘潭,0,1,1,302,101,装作是欧洲人的镜子,2771940551,1323527941
1434,1773263143,矜持的小馒头,海外 日本,0,1,1,443,168,矜持的小馒头,1773263143,1323527941
1433,3305088480,匿名的虾条君,海外,0,1,1,743,672,匿名的虾条君,3305088480,1323527941
