序号,Id,昵称,所在地,类型,节点,层级,关注数,粉丝数,Label,Source,Target
8044,2474322441,死肚皮,其他,1,1066,1,462,111,死肚皮,2474322441,1323527941
8045,3864632636,叶落秋花lh,江苏 苏州,1,1066,1,70,194,叶落秋花lh,3864632636,1323527941
8046,2106582727,蒋还是同学,,1,1066,1,471,280,蒋还是同学,2106582727,1323527941
8047,5629336415,尚余痴,内蒙古 呼伦贝尔,1,1066,1,69,5,尚余痴,5629336415,1323527941
8048,1255971637,羊角辫子007,海外 美国,1,1066,1,566,350,羊角辫子007,1255971637,1323527941
8049,1100441483,孝央兔猫,北京 东城区,1,1066,1,115,76,孝央兔猫,1100441483,1323527941
8050,1602827111,只影独行寒山雪,,1,1066,1,422,334,只影独行寒山雪,1602827111,1323527941
8051,1821601393,三月四日1990,河南,1,1066,1,41,1,三月四日1990,1821601393,1323527941
8052,3026560360,郑儿saline,山东 日照,1,1066,1,518,109,郑儿saline,3026560360,1323527941
8053,2568733937,盐津加应子,陕西 西安,1,1066,1,217,157,盐津加应子,2568733937,1323527941
8054,2115837843,-彭于晏的迷妹-,,1,1066,1,464,539,-彭于晏的迷妹-,2115837843,1323527941
8055,1827469764,坠入凡间李狗嗨,其他,1,1066,1,207,612,坠入凡间李狗嗨,1827469764,1323527941
8056,5406424651,丶澧,吉林 吉林,1,1066,1,141,422,丶澧,5406424651,1323527941
8057,5126152339,田不酸,湖北 荆门,1,1066,1,137,22,田不酸,5126152339,1323527941
8058,2246652640,镇花仙子,海外,1,1066,1,179,395,镇花仙子,2246652640,1323527941
8059,3226979301,贺佳佳佳佳佳,内蒙古 巴彦淖尔盟,1,1066,1,269,704,贺佳佳佳佳佳,3226979301,1323527941
8060,5556749194,极发后福,其他,1,1066,1,35,39,极发后福,5556749194,1323527941
8061,1923834183,氏贺Y太,上海 普陀区,1,1066,1,332,238,氏贺Y太,1923834183,1323527941
8062,5533045018,玉米加农炮泡炮,其他,1,1066,1,64,33,玉米加农炮泡炮,5533045018,1323527941
8063,5126152339,田不酸,湖北 荆门,1,1066,1,137,22,田不酸,5126152339,1323527941
8064,2557753617,娃娃布caicai,,1,1066,1,554,453,娃娃布caicai,2557753617,1323527941
8065,1923834183,氏贺Y太,上海 普陀区,1,1066,1,332,238,氏贺Y太,1923834183,1323527941
8066,5687558543,歪门邪道幺蛾子,广东 深圳,1,1066,1,200,14,歪门邪道幺蛾子,5687558543,1323527941
8067,3962481219,Maggie喜欢柠檬茶,天津 南开区,1,1066,1,167,31,Maggie喜欢柠檬茶,3962481219,1323527941
8068,3199571190,星星闪亮的瞬间,广东 东莞,1,1066,1,197,341,星星闪亮的瞬间,3199571190,1323527941
8069,1923834183,氏贺Y太,上海 普陀区,1,1066,1,332,238,氏贺Y太,1923834183,1323527941
8070,2127095467,维维的兔兔,广东 广州,1,1066,1,79,85,维维的兔兔,2127095467,1323527941
8071,5309900080,理清阿嗚喵,云南,1,1066,1,167,192,理清阿嗚喵,5309900080,1323527941
8072,2782569933,非礼勿视的欧阳,福建 泉州,1,1066,1,387,174,非礼勿视的欧阳,2782569933,1323527941
8073,1747288957,咩呀_呵呵呵,广东 广州,1,1066,1,508,404,咩呀_呵呵呵,1747288957,1323527941
8074,5958326468,月出皎兮lqf,新疆 乌鲁木齐,1,1066,1,121,53,月出皎兮lqf,5958326468,1323527941
8075,2809611034,asd太祖56,广东 广州,1,1066,1,129,105,asd太祖56,2809611034,1323527941
8076,1964369902,caicaiwosisei,广东,1,1066,1,218,300,caicaiwosisei,1964369902,1323527941
8077,1618625614,Koey就係柒肉肉,,1,1066,1,268,3137,Koey就係柒肉肉,1618625614,1323527941
8078,2000746765,Phelrine,福建 福州,1,1066,1,235,63,Phelrine,2000746765,1323527941
8079,2403739873,斯日古楞Michael,北京 朝阳区,1,1066,1,132,145,斯日古楞Michael,2403739873,1323527941
8080,2277982280,百石可乐,广东 广州,1,1066,1,298,69,百石可乐,2277982280,1323527941
8081,3509206004,ich_bin_Katherine,北京 海淀区,1,1066,1,284,895,ich_bin_Katherine,3509206004,1323527941
8082,5385056677,豆芽花花娘,其他,1,1066,1,552,123,豆芽花花娘,5385056677,1323527941
8083,1627210341,偶尔围观,陕西 汉中,1,1066,1,43,164,偶尔围观,1627210341,1323527941
8084,1255971637,羊角辫子007,海外 美国,1,1066,1,566,350,羊角辫子007,1255971637,1323527941
8085,2481507577,奋进的小碗,,1,1066,1,532,179,奋进的小碗,2481507577,1323527941
8086,3209494381,大熊瞎子君,北京 昌平区,1,1066,1,118,9,大熊瞎子君,3209494381,1323527941
8087,2985853472,hebitcs,香港,1,1066,1,426,407,hebitcs,2985853472,1323527941
8088,3694708807,西皮诶过过过,北京 东城区,1,1066,1,228,119,西皮诶过过过,3694708807,1323527941
8089,2766393782,久筛,浙江 丽水,1,1066,1,107,67,久筛,2766393782,1323527941
8090,1904192330,小妖猫儿,上海 黄浦区,1,1066,1,35,139,小妖猫儿,1904192330,1323527941
8091,1937419923,一根儿瘪茄子,辽宁 沈阳,1,1066,1,345,205,一根儿瘪茄子,1937419923,1323527941
8092,2633791057,青岛一李万飞,山东 青岛,1,1066,1,2007,709,青岛一李万飞,2633791057,1323527941
8093,5510693462,weiweian5510693462,河北 保定,1,1066,1,76,14,weiweian5510693462,5510693462,1323527941
8094,3106938625,xiangyu373,北京 东城区,1,1066,1,153,27,xiangyu373,3106938625,1323527941
8095,2646461783,歌爱唱7,北京 东城区,1,1066,1,691,57,歌爱唱7,2646461783,1323527941
8096,1152763990,M姗姗M,北京 丰台区,1,1066,1,372,153,M姗姗M,1152763990,1323527941
8097,1836791512,孟浪君Leewang,湖南 长沙,1,1066,1,254,243,孟浪君Leewang,1836791512,1323527941
8098,5907534289,西北政法大学_法律援助部,陕西 西安,1,1066,1,10,52,西北政法大学_法律援助部,5907534289,1323527941
8099,2306980555,Larrot,河南 郑州,1,1066,1,377,96,Larrot,2306980555,1323527941
8100,1291610192,露洋培训,,1,1066,1,286,4441,露洋培训,1291610192,1323527941
8101,2125114935,我是学弟你要让着我,,1,1066,1,669,1968,我是学弟你要让着我,2125114935,1323527941
8102,5907534289,西北政法大学_法律援助部,陕西 西安,1,1066,1,10,52,西北政法大学_法律援助部,5907534289,1323527941
8103,1796921073,杨海昕默默地做小透明,广东 广州,1,1066,1,652,834,杨海昕默默地做小透明,1796921073,1323527941
8104,2176234675,4300K的光芒,,1,1066,1,343,1032,4300K的光芒,2176234675,1323527941
8105,5811846698,用户5811846698,,1,1066,1,62,4,用户5811846698,5811846698,1323527941
8106,1539888984,黑卍兰州,上海 徐汇区,1,1066,1,98,188,黑卍兰州,1539888984,1323527941
8107,1156350640,苍穹的白寂娆的黑,云南 昆明,1,1066,1,1131,706,苍穹的白寂娆的黑,1156350640,1323527941
8108,5511008675,SASA-V587,其他,1,1066,1,130,293,SASA-V587,5511008675,1323527941
8109,2403986803,周五下午欢呼雀跃的小阿紫,辽宁 沈阳,1,1066,1,327,127,周五下午欢呼雀跃的小阿紫,2403986803,1323527941
8110,5664569440,荒唐了半生,浙江 杭州,1,1066,1,90,2,荒唐了半生,5664569440,1323527941
8111,5649409955,負能量到爆寶寶Zzzzzzzzz,其他,1,1066,1,120,3,負能量到爆寶寶Zzzzzzzzz,5649409955,1323527941
8112,1638064500,阿休哥哥,福建 厦门,1,1066,1,228,95,阿休哥哥,1638064500,1323527941
8113,3820063696,炸果啾,其他,1,1066,1,89,123,炸果啾,3820063696,1323527941
8114,1799127755,FuShuair,重庆 渝北区,1,1066,1,402,549,FuShuair,1799127755,1323527941
8115,1304050123,菠菜糕,北京,1,1066,1,334,543,菠菜糕,1304050123,1323527941
8116,2692725603,DearDrSimen,江西,1,1066,1,61,75,DearDrSimen,2692725603,1323527941
8117,1747968610,365天i,重庆 沙坪坝区,1,1066,1,236,221,365天i,1747968610,1323527941
8118,1825811283,语默and雨墨,北京 宣武区,1,1066,1,900,74,语默and雨墨,1825811283,1323527941
8119,3309523281,消失的阿司匹林,,1,1066,1,1272,3569,消失的阿司匹林,3309523281,1323527941
8120,2363871551,勉勉勉强,海外 其他,1,1066,1,881,132,勉勉勉强,2363871551,1323527941
8121,1255971637,羊角辫子007,海外 美国,1,1066,1,566,350,羊角辫子007,1255971637,1323527941
8122,1801750222,钟附异,四川 成都,1,1066,1,171,959,钟附异,1801750222,1323527941
8123,1821689835,周蝶梦庄,北京 西城区,1,1066,1,813,839,周蝶梦庄,1821689835,1323527941
8124,2042410722,鱿鱼少女的日常,新疆 乌鲁木齐,1,1066,1,154,44,鱿鱼少女的日常,2042410722,1323527941
8125,2673310983,知我者谓我心忧丕知我者谓我何求,海外 其他,1,1066,1,229,174,知我者谓我心忧丕知我者谓我何求,2673310983,1323527941
8126,3749103392,闷声赛艇,吉林 长春,1,1066,1,285,45,闷声赛艇,3749103392,1323527941
8127,3985075072,_丶Oreao,其他,1,1066,1,164,31,_丶Oreao,3985075072,1323527941
8128,2827057413,大城_____,四川 成都,1,1066,1,152,120,大城_____,2827057413,1323527941
8129,5263799778,小满的小宇宙,山东 青岛,1,1066,1,68,21,小满的小宇宙,5263799778,1323527941
8130,3166259603,周家的三公子,辽宁 抚顺,1,1066,1,121,177,周家的三公子,3166259603,1323527941
8131,1063208037,松鼠有个靓仔,其他,1,1066,1,398,441,松鼠有个靓仔,1063208037,1323527941
8132,1635861330,Yvonne小凡,海外,1,1066,1,284,367,Yvonne小凡,1635861330,1323527941
8133,1776805452,HughDevil,,1,1066,1,115,276,HughDevil,1776805452,1323527941
8134,1848829901,给我一盘半肥瘦叉烧,,1,1066,1,227,714,给我一盘半肥瘦叉烧,1848829901,1323527941
8135,2583418363,韦小广_me,北京 朝阳区,1,1066,1,150,118,韦小广_me,2583418363,1323527941
8136,5628432384,鲜榨加冰麦苗汁,其他,1,1066,1,87,98,鲜榨加冰麦苗汁,5628432384,1323527941
8137,1293818307,云南嘉恒,,1,1066,1,155,2424,云南嘉恒,1293818307,1323527941
8138,2521664484,賽德斯鳩,,1,1066,1,530,546,賽德斯鳩,2521664484,1323527941
8139,3828804547,Hacker缇娜的青岚,其他,1,1066,1,115,87,Hacker缇娜的青岚,3828804547,1323527941
8140,1776805452,HughDevil,,1,1066,1,115,276,HughDevil,1776805452,1323527941
